disease,description,doctor_advice
Common Cold,"The common cold is a viral infection of the upper respiratory tract primarily caused by rhinoviruses. It is highly contagious and spreads through respiratory droplets. Symptoms usually develop 1–3 days after exposure and last 7–10 days.","Consult a doctor if symptoms persist beyond 10 days, if you develop a high fever, or if symptoms worsen significantly."
Influenza,"Influenza (flu) is a contagious respiratory illness caused by influenza viruses. It can cause mild to severe illness and, at times, can lead to hospitalization or death. Symptoms appear suddenly and are more intense than the common cold.","Seek medical attention if you experience difficulty breathing, persistent chest pain, confusion, or if symptoms improve then return with fever."
Hypertension,"Hypertension (high blood pressure) is a common condition in which the long-term force of the blood against artery walls is high enough that it may eventually cause health problems such as heart disease. It is often called the silent killer as it typically has no symptoms.","Consult a doctor for proper diagnosis, lifestyle guidance, and potential medication. Monitor your blood pressure regularly."
Diabetes,"Diabetes is a chronic disease that occurs when the pancreas does not produce enough insulin or when the body cannot effectively use the insulin it produces. High blood sugar is a common result and can cause serious damage to the heart, blood vessels, eyes, kidneys, and nerves.","Regular monitoring of blood sugar levels, a balanced diet, and medical consultations are essential. Consult your doctor immediately if you experience extreme thirst, frequent urination, or blurred vision."
Malaria,"Malaria is a life-threatening disease caused by parasites transmitted to people through the bites of infected female Anopheles mosquitoes. It is preventable and curable. Malaria symptoms typically appear 10–15 days after the infective mosquito bite.","Malaria is a medical emergency. Seek immediate medical attention. Do not self-medicate. A blood test is required for diagnosis."
Typhoid,"Typhoid fever is a bacterial infection that can spread throughout the body, affecting many organs. Without prompt treatment, it can cause serious complications and can be life-threatening. It is caused by the bacterium Salmonella typhi.","Typhoid requires antibiotic treatment. Consult a doctor immediately. Avoid self-medication. Maintain strict food and water hygiene."
Pneumonia,"Pneumonia is an infection that inflames the air sacs in one or both lungs. The air sacs may fill with fluid or pus, causing cough with phlegm or pus, fever, chills, and difficulty breathing. Various organisms, including bacteria, viruses and fungi, can cause pneumonia.","Pneumonia can be serious, especially for the elderly, children, and those with weakened immune systems. Seek medical attention promptly, as antibiotics may be required."
Dengue,"Dengue is a mosquito-borne viral infection common in tropical and subtropical climates. Most people recover after about a week. In rare cases, dengue can become severe and lead to death. There is no specific treatment for dengue fever.","See a doctor immediately if you suspect dengue fever. Watch for warning signs such as severe abdominal pain, persistent vomiting, or bleeding from the gums or nose."
Asthma,"Asthma is a condition in which your airways narrow and swell and may produce extra mucus. This can make breathing difficult and trigger coughing, a whistling sound when you breathe out (wheezing), and shortness of breath. Asthma can be a minor nuisance or a major problem.","Use prescribed inhalers as directed by your doctor. Seek emergency care for severe attacks. Identify and avoid triggers."
Migraine,"A migraine is a headache that can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It is often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days.","Consult a neurologist for proper diagnosis and treatment plan. Keep a headache diary to identify triggers. Prescription medications may be needed."
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically resulting from bacterial toxins, a viral infection, or contaminated food or water. It causes diarrhea, vomiting, and stomach pain. It is commonly called stomach flu.","Maintain hydration to prevent dehydration. Consult a doctor if symptoms are severe, if there is blood in stool, or if symptoms persist beyond 3 days."
UTI,"A urinary tract infection (UTI) is an infection in any part of the urinary system — the kidneys, ureters, bladder, and urethra. Most infections involve the lower urinary tract — the bladder and the urethra. Women are at greater risk of developing a UTI than men.","Consult a doctor for a urine test and appropriate antibiotic treatment. Drink plenty of water and avoid delaying urination."
Anxiety Disorder,"Anxiety disorders are a group of mental health conditions characterized by excessive fear or worry. They can interfere with daily activities and are among the most common mental health disorders. Types include generalized anxiety disorder, panic disorder, and social anxiety disorder.","Consult a mental health professional or doctor for proper assessment. Therapy, lifestyle changes, and in some cases medication can be very effective."
Anemia,"Anemia is a condition in which you lack enough healthy red blood cells to carry adequate oxygen to your body's tissues. It can make you feel tired and weak. Anemia can be temporary or long term and can range from mild to severe.","Consult a doctor for a blood test to determine the type and cause of anemia. Treatment depends on the cause."
COVID-19,"COVID-19 is an infectious disease caused by the SARS-CoV-2 virus. Most people infected with the virus will experience mild to moderate respiratory illness and recover without requiring special treatment. However, some will become seriously ill and require medical attention.","Follow local health authority guidelines. Self-isolate if you test positive. Seek emergency medical care for difficulty breathing, persistent chest pain, or confusion."
